"id";"nama_kecamatan";"nama_alt";"id_kab_kota";"id_provinsi";"id_negara";"inserted_at";"inserted_by";"updated_at";"updated_by"
"1";"Tidak Diset";"Tidak Diset";"0";"0";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110101";"Bakongan";"Bakongan";"56311";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110102";"Kluet Utara";"Kluet Utara";"56311";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110103";"Kluet Selatan";"Kluet Selatan";"56311";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110104";"Labuhan Haji";"Labuhan Haji";"56311";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110105";"Meukek";"Meukek";"56311";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110106";"Samadua";"Samadua";"56311";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110107";"Sawang";"Sawang";"56311";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110108";"Tapaktuan";"Tapaktuan";"56311";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110109";"Trumon";"Trumon";"56311";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110110";"Pasi Raja";"Pasi Raja";"56311";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110111";"Labuhan Haji Timur";"Labuhan Haji Timur";"56311";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110112";"Labuhan Haji Barat";"Labuhan Haji Barat";"56311";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110113";"Kluet Tengah";"Kluet Tengah";"56311";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110114";"Kluet Timur";"Kluet Timur";"56311";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110115";"Bakongan Timur";"Bakongan Timur";"56311";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110116";"Trumon Timur";"Trumon Timur";"56311";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110117";"Kota Bahagia";"Kota Bahagia";"56311";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110118";"Trumon Tengah";"Trumon Tengah";"56311";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110201";"Lawe Alas";"Lawe Alas";"56315";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110202";"Lawe Sigala-Gala";"Lawe Sigala-Gala";"56315";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110203";"Bambel";"Bambel";"56315";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110204";"Babussalam";"Babussalam";"56315";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110205";"Badar";"Badar";"56315";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110206";"Babul Makmur";"Babul Makmur";"56315";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110207";"Darul Hasanah";"Darul Hasanah";"56315";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110208";"Lawe Bulan";"Lawe Bulan";"56315";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110209";"Bukit Tusam";"Bukit Tusam";"56315";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110210";"Semadam";"Semadam";"56315";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110211";"Babul Rahmah";"Babul Rahmah";"56315";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110212";"Ketambe";"Ketambe";"56315";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110213";"Deleng Pokhkisen";"Deleng Pokhkisen";"56315";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110214";"Lawe Sumur";"Lawe Sumur";"56315";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110215";"Tanoh Alas";"Tanoh Alas";"56315";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110216";"Leuser";"Leuser";"56315";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110301";"Darul Aman";"Darul Aman";"56316";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110302";"Julok";"Julok";"56316";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110303";"Idi Rayeuk";"Idi Rayeuk";"56316";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110304";"Birem Bayeun";"Birem Bayeun";"56316";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110305";"Serbajadi";"Serbajadi";"56316";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110306";"Nurussalam";"Nurussalam";"56316";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110307";"Peureulak";"Peureulak";"56316";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110308";"Rantau Selamat";"Rantau Selamat";"56316";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110309";"Simpang Ulim";"Simpang Ulim";"56316";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110310";"Rantau Peureulak";"Rantau Peureulak";"56316";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110311";"Pante Bidari";"Pante Bidari";"56316";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110312";"Madat";"Madat";"56316";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110313";"Indra Makmu";"Indra Makmu";"56316";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110314";"Idi Tunong";"Idi Tunong";"56316";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110315";"Banda Alam";"Banda Alam";"56316";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110316";"Peudawa";"Peudawa";"56316";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110317";"Peureulak Timur";"Peureulak Timur";"56316";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110318";"Peureulak Barat";"Peureulak Barat";"56316";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110319";"Sungai Raya";"Sungai Raya";"56316";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110320";"Simpang Jernih";"Simpang Jernih";"56316";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110321";"Darul Ihsan";"Darul Ihsan";"56316";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110322";"Darul Falah";"Darul Falah";"56316";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110323";"Idi Timur";"Idi Timur";"56316";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110324";"Peunaron";"Peunaron";"56316";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110401";"Linge";"Linge";"56314";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110402";"Silih Nara";"Silih Nara";"56314";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110403";"Bebesen";"Bebesen";"56314";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110407";"Pegasing";"Pegasing";"56314";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110408";"Bintang";"Bintang";"56314";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110410";"Ketol";"Ketol";"56314";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110411";"Kebayakan";"Kebayakan";"56314";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110412";"Kute Panang";"Kute Panang";"56314";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110413";"Celala";"Celala";"56314";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110417";"Laut Tawar";"Laut Tawar";"56314";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110418";"Atu Lintang";"Atu Lintang";"56314";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110419";"Jagong Jeget";"Jagong Jeget";"56314";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110420";"Bies";"Bies";"56314";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110421";"Rusip Antara";"Rusip Antara";"56314";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110501";"Johan Pahwalan";"Johan Pahwalan";"56307";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110502";"Kaway XVI";"Kaway XVI";"56307";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
"110503";"Sungai Mas";"Sungai Mas";"56307";"1822";"102";"2025-03-21 02:44:45";"System";"2025-03-21 02:44:45";"System"
